title,part_of_speech,definition,priority,suggested_etymology,source
ողողել,verb,"['transitive to flood, to overflow.', '(transitive) to flood, to overflow.', '(transitive) to wash away, to wash out.', '(transitive) to wash lightly: to rinse.', '(transitive) to wash the mouth: to rinse, to gargle.', '(transitive, figuratively) to wet, to soak, to drench.', '(transitive, figuratively) to drown, to swamp, to inundate.', '(transitive) to engulf.']",2,,
ողջունել,verb,"['to greet, hail, salute, bid welcome.', 'to welcome, favour (a proposal, decision, etc.).']",2,,
ոչնչանալ,verb,"['to be destroyed, to perish.']",2,,
ոռոգել,verb,"['to irrigate, to water.']",2,,
ոսկեքար,noun,"['literary chrysolite.', '(literary) chrysolite.']",2,,
ոսկոր,noun,['bone.'],1,,
ոսոխ,noun,"['enemy, foe.', 'adversary, rival, opponent.']",1,,
ոտանավոր,noun,"['short poem, verse.']",2,,
ոտնակապ,noun,"['fetter.', 'hobble.']",2,,
ոտնաչափ,noun,"['foot unit of length, approximately 30.5 centimeters.', 'foot (unit of length, approximately 30.5 centimeters).']",2,,
որբանալ,verb,['to become an orphan.'],2,,
որբանոց,noun,['orphanage.'],2,,
որդ,noun,"['worm.', 'maggot.', '(figuratively) contemptible being.']",1,,
որդյակ,noun,['diminutive of որդի (ordi).'],2,,
որթ,noun,"['vine, grapevine.']",1,,
որձաքար,noun,"['quartz.', 'any hard rock, such as granite, basalt, etc.']",2,,
որմ,noun,['wall.'],1,,
որոգայթ,noun,"['somewhat, formal snare, trap.', '(somewhat formal) snare, trap.']",2,,
որոճալ,verb,"['to ruminate, to chew cud.', '(figuratively) to meditate, to reflect.']",2,,
որոնել,verb,"['transitive to search.', '(transitive) to search.']",2,,
որոշել,verb,"['to decide.', 'to define, to determine.']",2,,
որոտ,noun,['thunder.'],1,,
որոտալ,verb,"['transitive to thunder.', '(transitive) to thunder.']",2,,
որսորդ,noun,"['hunter, huntsman.']",2,,
ուդ,noun,['oud.'],1,,
ուդմուրտ,noun,['Udmurt.'],2,,
ուզենալ,verb,"['to want, to wish.']",2,,
ուլ,noun,"['kid, young of a goat.', '(archaic, poetic) neck.']",1,,
ուխտել,verb,"['to swear, take an oath, vow.']",2,,
ուղարկել,verb,"['to send, to dispatch, to transmit.']",2,,
ուղեկցել,verb,"['to accompany.', 'to convoy, to escort.']",2,,
ուղեղ,noun,"['brain.', '(figuratively) mind, intellect.']",1,,
ուղեղիկ,noun,"['neuroanatomy cerebellum.', '(neuroanatomy) cerebellum.']",2,,
ուղղել,verb,"['to correct, straighten.', 'to direct; to turn, aim, level, point.']",2,,
ունենալ,verb,"['to have, to possess, to dispose.', 'to own, to hold.']",2,,
ունչ,noun,"['nose; nostril.', 'moustache.']",1,,
ուշանալ,verb,"['to be late, to run late.', 'to not finish on time.', 'to stay late (e.g., of work).']",2,,
ուռթել,verb,"['rare to sprinkle, to irrigate.', '(rare) to sprinkle, to irrigate.']",2,,
ուռչել,verb,"['intransitive to swell.', '(intransitive) to swell.']",2,,
ուս,noun,['shoulder.'],1,,
ուսանել,verb,"['intransitive to learn, to study.', '(intransitive) to learn, to study.']",2,,
ուսնոց,noun,"['shawl.', '(rare) shoulder strap, shoulderboard, shoulder mark (military insignia).']",2,,
ուսուցիչ,noun,"['somewhat, formal teacher.', '(somewhat formal) teacher.']",2,,
ուստր,noun,"['archaic son.', '(archaic) son.']",1,,
ուտեստ,noun,"['food, nourishment, victuals.', 'dish.']",2,,
չակերտ,noun,"['quotation mark, guillemet.']",2,,
չարանալ,verb,"['to be angry; to become angry.', 'to become evil.', 'to start misbehaving (of children).']",2,,
չարչարել,verb,"['transitive to torment, torture.', '(transitive) to torment, torture.']",2,,
չափել,verb,"['to measure, to gauge.']",1,,
չիղջ,noun,"['bat flying mammal.', 'bat (flying mammal).']",1,,
չխրթմա,noun,['chikhirtma.'],2,,
չմուշկ,noun,['ice skate.'],2,,
չվել,verb,"['to migrate of birds.', 'to migrate (of birds).', 'to move from one place to another in a group.', '(figuratively) to leave.']",1,,
չքանալ,verb,"['to vanish, disappear.']",2,,
պագանել,verb,"['formal, transitive to kiss.', '(formal, transitive) to kiss.']",2,,
պակասել,verb,"['intransitive to lessen, to diminish, to decrease; to fall, to go down, to be reduced; to recede, to subside.', '(intransitive) to lessen, to diminish, to decrease; to fall, to go down, to be reduced; to recede, to subside.', '(intransitive) to feel short of, to lack, be in want of.']",2,,
պահանջ,noun,"['demand, claim.']",2,,
պահել,verb,"['to keep.', 'to hold.', 'to hide, to conceal.', 'to keep back, to restrain.', 'to maintain, to support.', 'to delay, to detain.', 'to guard.', 'to breed, to rear.', 'to save up.']",1,,
պահեստ,noun,"['storehouse; warehouse.', 'stock, supply, store; reserve.']",2,,
պահպանել,verb,"['to keep, to preserve, to retain.', 'to support.', 'to take care of.']",2,,
պաղատել,verb,"['to beg, beseech, implore.']",2,,
պաճույճ,noun,"['ornament, adornment.']",2,,
պայքարել,verb,"['to fight; to struggle.', 'to have an argument.', 'to contend, to compete.', '(figuratively) to oppose, to resist.']",2,,
պանդուխտ,noun,"['person living away from their homeland, foreigner, stranger, emigrant, alien, pilgrim, exile.']",2,,
պանծալ,verb,['to be proud.'],2,,
պաշտոնյա,noun,"['official, public officer.']",2,,
պաչ,noun,"['colloquial kiss.', '(colloquial) kiss.']",1,,
պատահար,noun,"['incident; event; accident.', '(physics) event.']",2,,
պատանդ,noun,['hostage.'],2,,
պատանյակ,noun,['diminutive of պատանի (patani).'],2,,
պատատուկ,noun,"['bindweed, morning glory, <ref></ref>.', 'bindweed, morning glory, Convolvulus.', '(dialectal) yarn of tweed.']",2,,
պատգամ,noun,"['decree, edict.', 'request, demand.', 'advice, counsel.', '(religion) commandment.']",2,,
պատգարակ,noun,['litter; stretcher.'],2,,
պատել,verb,"['to wrap.', 'to overlay (to lay, spread, or apply something over or across; to cover).']",1,,
պատժել,verb,"['to punish, to sentence.', 'to discipline.', 'to penalize, to fine.', 'to castigate, to torture.', 'to scourge.']",2,,
պատկանել,verb,"['to belong, to belong to, to pertain.']",2,,
պատկառել,verb,"['to revere, to venerate, to respect.', '(archaic) to feel embarrassed, bashful, shy.']",2,,
պատկերել,verb,"['to depict, to portray.']",2,,
պատճառ,noun,"['reason, cause.']",2,,
պատճառել,verb,"['to cause, do.']",2,,
պատմագետ,noun,"['historian.', 'historiographer, a scholar of the science of history.']",2,,
պատմել,verb,"['to relate, tell, narrate, recount.']",2,,
պատնեշ,noun,"['dam; dyke.', 'barrier, barricade.']",2,,
պատշգամբ,noun,"['balcony.', 'verandah, terrace.']",2,,
պատուհաս,noun,"['misfortune, disaster, evil, pest, distress, trouble.', 'great punishment.']",2,,
պատվար,noun,"['wall, bulwark.']",2,,
պատվիրել,verb,"['to order, command.', 'to order (request some product or service).']",2,,
պատրանք,noun,"['illusion, dream, chimera, phantom.']",2,,
պատրվակ,noun,"['excuse, pretext.']",2,,
պարագա,noun,"['circumstance; case.', '(in the plural) accessories.', '(grammar) adverbial modifier.']",2,,
պարգև,noun,['award; prize; decoration.'],1,,
պարեգոտ,noun,"['tunic, robe.']",2,,
պարետ,noun,"['commandant of a fortress or town.', 'commandant (of a fortress or town).', 'superintendent (of a building).']",1,,
պարիսպ,noun,"['wall structure built for defense surrounding a city, castle etc.', 'wall (structure built for defense surrounding a city, castle etc.).']",2,,
պարծանք,noun,['pride.'],2,,
պարույր,noun,"['spiral, helix.']",2,,
պարուրել,verb,"['transitive to envelop, wrap, shroud.', '(transitive) to envelop, wrap, shroud.']",2,,
պարսատիկ,noun,['slingshot.'],2,,
պարտեզ,noun,['garden.'],2,,
պիլիպինո,noun,"['Pilipino language.', 'Pilipino (language).']",2,,
պիրոլ,noun,"['oriole, especially the golden oriole.', 'oriole, especially the golden oriole (Oriolus oriolus).']",1,,
պլոր,noun,"['ball, testicle.']",1,,
պողպատ,noun,['steel.'],2,,
պոպոկ,noun,"['<ref></ref>.', 'walnut.', 'green husk on unripe walnut.', 'sprout, shoot; bud.']",1,,
պոռոչ,noun,"['bellow (sound of bull).', '(dialectal) bellow (sound of bull).', 'roar, bawl.']",1,,
պուլսար,noun,"['astronomy pulsar.', '(astronomy) pulsar.']",2,,
պուրակ,noun,"['orchard, grove.', 'small wood, woodlet, bosk.', 'brake, copse.', 'public garden, park.']",2,,
պուց,noun,"['cunt, pussy.', '(figuratively) woman, girl, ho, broad.']",1,,
պպզել,verb,"['to squat.', '(of four-legged animals) to sit on its hind legs.']",1,,
պտտել,verb,"['transitive to rotate, turn.', '(transitive) to rotate, turn.', '(intransitive) to stroll, amble.']",1,,
պտտվել,verb,"['inflection of պտտել.', 'mediopassive of պտտել (pttel).', '(intransitive) to rotate, spin, revolve.', '(intransitive) to turn, turn round, turn over.', '(intransitive) to stroll, wander, roam, ramble.']",2,,
պրակրիտ,noun,['Prakrit.'],2,,
պրծնել,verb,"['intransitive to be relieved, freed, to be released from or of a difficulty, unwanted task, responsibility etc.', '(intransitive) to be relieved, freed, to be released from or of a difficulty, unwanted task, responsibility etc.', '(intransitive) to finish, to end, to be over.', '(transitive) to finish, to end; to complete (work, lessons, etc.).', '(slang, vulgar) to come, to cum, to achieve orgasm.']",2,,
պրտու,noun,"['papyrus, paper reed, an aquatic flowering plant of the sedge family.', 'papyrus, paper reed, Cyperus papyrus (an aquatic flowering plant of the sedge family).']",1,,
ջազ,noun,['jazz.'],1,,
ջանալ,verb,"['to exert oneself, to try.']",1,,
ջարդ,noun,"['massacre, carnage, slaughter; pogrom.', 'mass repression by a government (i.e., imprisonment, exile, executions).', '(figuratively) a devastating blow, a crushing defeat (inflicted upon an opponent).', '(figuratively) a scathing criticism.', '(colloquial) a beating.', 'scrap metal, shards of glass, or broken pieces of other hard materials.', 'Various idiomatic usages:.']",1,,
ջարդել,verb,"['to break into pieces.', 'to cut up into pieces.', 'to cut, to destroy by cutting (i.e. a forest).', 'to defeat severely.', 'to massacre.', 'to destroy, to annihilate.', 'to break open (i.e. a door, gates).', 'to kill by stamping or striking.', 'to break and make unusable (i.e. a machine).', '(colloquial) to beat (someone) severely.', '(figuratively) to excoriate, to criticize severely.', ""(figuratively) to completely refute (someone's arguments)."", 'to speak a language poorly.', 'to make excessive effort to do something.', 'to agonize, to suffer, to feel sorrow.']",2,,
ջեռուցել,verb,"['transitive to warm, to heat, to make hot or warm.', '(transitive) to warm, to heat, to make hot or warm.']",2,,
ջիղ,noun,"['nerve.', 'tendon, sinew.', 'muscle.', '(figuratively) talent for something.', '(figuratively) power, might.']",1,,
ջնարակ,noun,"[', without a basis glosses the word as ""cinnabar"" and derives from , a supposed cognate of the words discussed at.', 'glaze (coating on pottery).', 'glaze (edible coating applied to food).']",2,,
ջնջել,verb,"['to wipe off, to clean, to delete, to erase.', 'to destroy, to annihilate.', 'to cross, to strike out.']",1,,
ջուղաբ,noun,"['answer, reply.', 'news, tidings.']",2,,
ջրաղաց,noun,['watermill.'],2,,
ջրամբար,noun,"['reservoir, storage pond, storage pool.']",2,,
ջրարջ,noun,"['raccoon, Procyon.']",1,,
ջրհեղեղ,noun,"['flood, deluge.']",2,,
ջրվեժ,noun,['waterfall.'],1,,
ռահվիրա,noun,"['trailblazer, pathfinder.', '(figuratively) trailblazer, pioneer, innovative leader.']",2,,
ռեփ,noun,"['rap music.', '(music) rap music.', 'rap song.']",1,,
սագ,noun,['goose.'],1,,
սագո,noun,['sago.'],1,,
սադափ,noun,['mother-of-pearl.'],1,,
սադրանք,noun,"['provocation, instigation, incitement.']",2,,
սադրել,verb,"['to instigate, to incite, to provoke.']",2,,
սալաքար,noun,"['slab, flagstone, paving stone.']",2,,
սակարկել,verb,"['to bargain, to haggle.', '(figuratively) to negotiate.']",2,,
սահել,verb,"['transitive to slide, glide, skid.', '(transitive) to slide, glide, skid.']",1,,
սաղարթ,noun,"[', with doubt lists under the root , following Scheftelowitz linking the word with such cognates as , , , , ; / then would be a suffix.', 'foliage, leafage.']",2,,
սաղմ,noun,"['biology embryo.', '(biology) embryo.']",1,,
սամույր,noun,"['sable animal.', 'sable (animal).', 'sable (fur).']",2,,
սայթաքել,verb,"['to make a misstep, to trip, to slip.', '(figuratively) to make a mistake, to trip up, slip up.']",2,,
սանդ,noun,['mortar.'],1,,
սանթուր,noun,"['santur a musical instrument.', 'santur (a musical instrument).']",2,,
սանձել,verb,"['to bridle.', '(figuratively) to restrain.']",2,,
սանրել,verb,"['transitive to comb, to brush.', '(transitive) to comb, to brush.']",2,,
սանրվածք,noun,"['hairdo, hairstyle, haircut.']",2,,
սառույց,noun,['ice.'],2,,
սառցահատ,noun,"['architecture ice apron, starling a wedge-shaped structure for protecting a bridge pier from floating ice.', '(architecture) ice apron, starling (a wedge-shaped structure for protecting a bridge pier from floating ice).', 'icebreaker (ship).']",2,,
սասանել,verb,"['transitive to shake, to move.', '(transitive) to shake, to move.', 'to destroy, to ruin.', 'to disrupt, to confuse, to weaken.', 'to be shaken, to be moved.', 'to tremble, to shake, to freeze (from fear).']",2,,
սատանա,noun,"['Satan, devil.']",2,,
սատարել,verb,"['to assist, to support, to help.']",2,,
սար,noun,['mountain.'],1,,
սարավանդ,noun,"['projecting part of a mountain.', 'cape, headland, promontory (usually a high one).', 'height, eminence.']",2,,
սարսափ,noun,"['terror, horror.']",2,,
սարսափել,verb,"['to be terrified, horrified.', '(archaic) to shiver, to shudder, to tremble.']",2,,
սարք,noun,"['device, equipment.', '(dialectal) order (the state of being well arranged).']",1,,
սարքել,verb,"['to repair.', 'to make, to create.']",2,,
սափրիչ,noun,"['dated barber, hairdresser.', '(dated) barber, hairdresser.']",2,,
սեզ,noun,['couch grass.'],1,,
սեռ,noun,"['sex, gender.', 'class, sort, kind, genus, variety.', '(grammar) gender.', '(grammar) voice, gender of verbs.']",1,,
սերմ,noun,"['seed.', '(physiology) semen, sperm.']",1,,
սերունդ,noun,"['generation.', '(in the plural) posterity, descendants.']",2,,
սերուցք,noun,"['cream dairy product.', 'cream (dairy product).', '(figuratively) cream (best part of something).']",2,,
սեքս,noun,"['sex, sexual intercourse.']",1,,
սիբիրախտ,noun,['anthrax.'],2,,
սիեստա,noun,['siesta.'],2,,
