title,part_of_speech,definition,suggested_etymology,notes
պե,noun,"['the name of the Armenian letter պ.', 'the name of the Armenian letter պ (p).']",Etymology needs research,
սա,pron,['this.'],Etymology needs research,
-ապանակ,,['alternative form of -պանակ.'],Etymology needs research,
-ս,,['a possessive suffix marking 1st person possession.'],Etymology needs research,
3ԱՆԴՈՒԳՆ,,"['(լգ. յանդգունք) «խրոխտ, ան. վախ, աներկիւղ» ՍԳր. Ոսկ. յհ. բ. 30. որից յանդգնիլ ՍԳր. Ոսկ. յանդգնութիւն ՍԳր. յանդգնագոյն Գ. մկ. ա. 9. Բ. կոր. ժա. 23 յանդգնաբար Եղիշ. յանդգնօրէն (նոր բառ) ևն։']",Etymology needs research,
IԾՈՒՐՔ,,"['«ծոպ». ունի միայն Բառ. երեմ. էջ 151 ծոպ բառին իբրև բացատրութիւն, ո-րից երևում է՝ որ այն ժամանակ կենդանի բառ է։ Ըստ իս ծուփք բառն է (հմմտ. Հմշ. ծուփք), որ վրիպակով այսպէս է տպուած։]']",Etymology needs research,
ԱԱԿԱՐԱՆ,,"['. անորոշ նշանակութեամբ նռ. րագիւտ բառ, որ 3 անգամ գտնում եմ գործածուած Անկ. գիրք առաք. 372, 403, 4Ո4. «Իւ հատաւ ջուր ի սակարանացն և առ մատռուակն զսափորն և չոգաւ զջրոյ. Մի ոմն ի մատռուակացն յարուցեալ ի սակա-րանից անտի, ած ապտակ ի ծնօտն Թումա-յի. Ասէր ցմատռուակն, եթէ պակասիցէ ի սակարանիցդ և երթիցես զջրոյ»։ Երևի նշա-նակում է «մատռուակների մառանը, պա-հարանները, բուֆետ»։ Բայց էջ 429 մի տարբեր խմբագրութեան մէջ համապատաս-խան տեղում կարդում ենք. «Եւ հատաւ ջու-րըն ի բազմականին և առ մատռուակն զսա-փորն և չոգաւ ի ջուրն», որի մէջ բազմա-կան դրուած է սակարան բառի տեղ։']",Etymology needs research,
ԱԲԵՂԲԻ,,['«փութապէս». գիտե միայն Բառ. երեմ. էջ 3։'],Etymology needs research,
ԱԳԻ,,"['(-ւոյ, եաւ, ւով) «պոչ» (յատկապէս մաղաւօր տեսակը, ինչ. ձիու, եզան ևն, բայց ս՛չ ոչխարի, շան, ձկան, թռչունի, օձի ևն)։ Բուռ Գ. 6. Յայտ. Թ. 10, 19. որից ագևոր Խոր. աշխ. ագետակ Վստկ. ագատ Ոսկիփ. կարճա-գի Պտմ. աղեքս. նոր գրականի մէջ ագեվաց «կենգուրու անասունը».-ըստ. Տաթև. հարց. 371 ագատ «անդամը կտրած», որից երևում է թէ ագի նշանակում էր նաև «առ-նի», ինչպէս է և պոչ։']",Etymology needs research,
ԱԳԼԻՄԻԱ,,['«արծաթի կամ ոսկիի փշրանք կամ աղտ» Վստկ. 113. Առ արծաթի ագլի-միա տասն լիտր և լեսեա՛ կորկոտ։'],Etymology needs research,
ԱԳՈՐԱՆՔ,,"['«աղբի մթերք» Բառ. երեմ. 5, որ և ագոռանք «դիզուած աղբ» ԱԲ. առանց վկայութեան յիշում է ՆՀԲ՝ իբր «Հին բռ.». ՀՀԲ չունի։']",Etymology needs research,
ԱԳՈՒՆԻԱՅ,,['«ծածուկ». գիտէ միայն Բար. երեմ. 5։'],Etymology needs research,
ԱԳՌ,,"['«քաղցուի կամ մեղրի դիրտ» Վստկ. 93, «վէրքի շարաւ» Վստկ. 213.-նորագիւտ բառ։']",Etymology needs research,
ԱԳՐԱԿԷԶ,,"['«խոտատանձ». ունի միայն Բառ. եռեմ. լաւել, 565, որ յիշում է նաև ՀԲուս. § 2918 կասկածով՝ ագրագև ձևով, ըստ Գաղիանոսի։']",Etymology needs research,
ԱԴՈՆՄՈՅ,,['«պարզ բառ». այսպէս ունի Բառ. երեմ. էջ 6. յայտնի չէ թե ի՛նչ է ուզում ասել։'],Etymology needs research,
ԱԶԱՏԴՐԱԽՏ,,"['«մի տեսակ ծառ, uzéda-rao» Բժշ. = պրս. [arabic word] āzād-diraxt, որ կազմուած է azād «ազատ» և diraxt «ծառ» բառերից. պարսկականից են կազմուած նաև լտ. melia azidarach, ֆրանս. azédarac սպան. acedaraque։']",Etymology needs research,
ԱԶԱՐԻՂԻ,,"['«մի տեսակ բոյս է» Բժշ. լիշում է միայն ՀԲուս. § 12, որ և իզարիղալ ՀԲուս. § 854. այլուր կոչուած է քուչուլա ՀԲուս. § 3216։']",Etymology needs research,
ԱԶԳԱԲՈՆ,,"['«սատանայ». նորագիւտ բառ, որ մէկ անգամ գտնում եմ գոռծածուած Մ-լութ. 415 ա. «Ունէին թագաւոր զհրեշտակն անդնդոց, այսինքն զսատանայ, որ կոչի ազ-գաբոն, որ թարգմանի կորուստ»։']",Etymology needs research,
ԱԶԽՈՅԳ,,"['«վայրի դդում». նորագյուտ բառ, որ մեկ անգամ գտնում եմ գործածուած Խոր աշխ. հրտր. Սուքր. 11. «Կարմիր ծով... յո-րոյ ծոցոյ ելանէ Պարսայ Արաբացոց ծով-քըն... Պարսայ սակաւ ինչ իբրև զաղիւսակ, և Արաբացւոցն՝ ազխոյգ նման»։']",Etymology needs research,
ԱԹԱՆԱԲՐԻ,,['«դառնացեալ». ունի միայն Բառ. երեմ. էջ 7. անստոյգ բառ։'],Etymology needs research,
ԱԹԻԹԱՅ,,"['. անյայտ բառ, որ Բառ. եռեմ էջ 244 դնում է իբր բացատրութիւն շառշիդ բառի դէմ, որ նոյնպէս անծանօթ է']",Etymology needs research,
ԱԼԱԽՈՒԹԵԼ,,"['«այծի պապաչել»?։ Նորագիւտ անստոյգ բառ, որ մէկ անգամ գտնում եմ դործածուած Մագ. թղ. էջ 86 «Որ յերեկեանն ճայթիւն գոռմանն և խխնջիւն վընջելոյ պայ-թուցեալ պապչեկին լալաւարթիւն ալախութ-յյն բրուն»։']",Etymology needs research,
ԱԼԱՐԵԼ,,"['«ամաչել». ունի միայն ԱԲ. մէև անգամ գտնում եմ գործածուած Ոսկ. պող. ա. 390. Չիք ոք այնպէս անամօթ և յանդուգն, որ ստէպ լսիցէ զգորովանս և չալարիցէ (յն. չամաչիցէ) և ցածնուցու ի բազում չարեաց։']",Etymology needs research,
ԱԼԱՒՈՒՆՔ,,"['«բազմաս-տեղք, բոյլք համաստեղութիւնը» Հին բռ. Ճառընտ. Վրք. և վկ. ա. 682. -երկու ձևերից մին սխալ գրչութիւն է։']",Etymology needs research,
ԱԼԲՆԱԿ,,"['. անստոյգ և անծանօթ բառ, որ գիտէ միայն Բառ. երեմ. էջ 7 և մեկնում է «կընկալ», որի ինչ լինելը անյայտ է։ Ակինեան ՀԱ 1930, 493 տալիս է բառիս ավելի լաւ ընթերցուածը՝ Բառ. երեմ. л 956 և 1017 ձեռագրերից. «Ալ բնակ կամ ընկայ»։ Սրանով բառը դառնում է ալ. իսկ «բնակ և ընկալ» նրա նշանակութիւնները։ Ակինեան կարծում է, թէ եբրայական մի անուան բա-ցատրութիւնն է։']",Etymology needs research,
ԱԼԻ,,"['«առանցք, երկանաքար կամ ճախա-րակ». մէկ անգամ գործածուած է Փիլ. ել 509. «Ալի հոլովելով՝ ոչ փոխէ զտեղին. ինքն յինքեան շրջելով՝ ոչ մատչի ի բաց. նոյն օ-իինակ և երկին պատի յինքեան, ոչ տեղա-փոխութեամբ»։']",Etymology needs research,
ԱԼԽՈԶԱԶ,,"['«մշկան եղինջ, լեղակ». ունի միայն Բառ. երեմ. յաւել. 565, իսկ ՀԲուս. § 896 և 899՝ այս և ալխոշալ ձևով, որ թուի վրիպակ։']",Etymology needs research,
ԱԼՍՈՒՍ,,"['«բժշկական բոյս է». Մխ. հեր. չունի ՀԲուս. հմմտ. նաև աղսուս, որ ուրիշ բոյս էր']",Etymology needs research,
ԱԼՔ,,"['-«խորք, խորունկ տեղ, անդունդ, ան-տակը» Փիլ. Սարկ. աղ. 62. Երզն. մտթ. 486, 491. որից ալուց «աւելի ներսը, խորը» Եզն. (Եզինն ձմերանի ընդ ալոց կողմն նստելոյ). սրանից է կազմուած նաև Պետրոս Դուրեա-նի անալի «անյատակ» բառը՝ որ գործա-ծուած է մի անգամ իր հռչակաւոր «Տրտունջ, քի» հետևեալ գեղեցիկ տողերի մէջ.']",Etymology needs research,
ԱԽԱՄԱԽ,,"['«տխմար, անմիտ». մէկ անգամ ռռնում եմ ռործածուած Ոսկ. պօղ. ա. 268. Թեպէտ և ախամախ ինչ մարդիկ իցեն... և անպիտանք և ապաժամանք և անարգք և անգոսնեալք։ Կապ չունի թրք. ախմախ հո-մանիշի հետ, որ է արաբ. ❇ āhmaq, ըստ որում մեր բառը աւանդուած է Ոսկեդարից։']",Etymology needs research,
ԱԽԱՆԿԵԱԼ,,"['«հաստատուած, տնօրենուած». մէկ անգամ ունի Ոսկ. եփես. 677. «Կրտսեր ինչ չեն մեր իրքս, այլ անդուստ ի վերուստ մատակարարեալք և ախանկեալք»։']",Etymology needs research,
ԱԽԱՑԽԻՐ,,"['«բժշկական մի արմատ». ունի միայն ԳԲ, որի աղբիւրն է Քաջունի, Բ. 769, որ êpices, êpicerie բառը մեկնում է «համե-մունք, բովիճայք, ի յետնոց՝ ախայխիր»։']",Etymology needs research,
ԱԽԱՒԵՂԱԳԷՍ,,"['(սեռ. -ի) «խոյակ, սիւնա-գլուխ» Երեմ. ծբ. 22 (երեք անգամ), Ոսկ. մ. բ. 25, Փիլիպ. 465, գրուած է նաև ահաւե լագէս, խաւեղագէս, աղաւաղագէս, աղխա-ղեագէս (Անկ. գիրք հին կտ. էջ 214), հաւե-ղագէս Ոսկ. եփես. էջ 781։ = անշուշտ բարդուած է ախաւեղ և գէս բառերից, որովհետև այսքան երկար մի բառ չի կարող արմատ լինել։ Առաջինը՝ որ հաւա-նաբար «սիւն» նշանակութիւնն ունի, աւ-լուստ իսպառ անծանօթ է։ Երկրորդը՝ ըստ Թորոմանեանի (անձնական), հյ. գէս «մազ, վարս» բառն է. ախաւեղագէսը ներկայաց-նում է սեան խոյակից վեր՝ թակաղաղի տակ գտնուած մասը, որ աստիճանաձև է լի-նում և կարող է վարսաւոր ձևեր էլ ստանալ։ Ըստ իս գէս՝ յն. γεῖσος, γέῖσσος, γεῖσσο» բառն է, որ նշանակում է «դուրս եր-կարած մաս, քիւ, ցիւ, corniche» և Երեմ. ծբ. 22 երեք անգամ գործածուած է՝ հենց ախաւեղագէս բառի դէմ։-Աճ.']",Etymology needs research,
"ԱԽԻՄ, ԱԽԻՏԱՆ",,['«խորհուրդ». ունի միայն Բառ. երեմ. էջ 8։'],Etymology needs research,
ԱԽՆԹՈՐ,,"['. գրուած նաև աղնթոր, աղխնթոր, յախնթոր, յաղխնթոր, յաղընթոր «ծառայա-կան, գռեհիկ, ստորին, ռամիկ». որից ախըն. թորագոյն Իսիւք. Վանակ. յոբ. յաղխնթորա-գոյն Փիլ. իմաստ. աղնթորակագոյն Փիլ. տեսակ. 14. յախնթորագոյն Երզն. մտթ. 390 (տպ. ախնթորագոյն), յախնթորակագոյն, աղխնթորականագոյն Փիլ. տեսակ. ևն։ Վեր-ջինիս մէջ (էջ 18) համապատասխանում է յն. բնագրի αϰροϑωραxες «մի քիչ հարբած ապուշ, հաստագլուխ» բառին, իսկ էջ 72՝ յն. άνδραποδωδὲσταται «ստրուկի՝ ծառայի վայել, կոպիտ կոշտ», լտ. serviles.-հմմտ. նաև նաղախնթոր։']",Etymology needs research,
